docid	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprintdate	genres	subjects	locnum	oclc	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
mdp.39015063962016	Tracy, Virginia		1930.0	1930.0	s	1930	    	1930			PZ3.T675Mo	18968563.0	123032	1	1.0	1.0			The moment after, | $c: by Virginia Tracy.		True	The moment after
mdp.39015063961380	Stanley, Marie		1930.0	1930.0	s	1930	    	1930			PZ3.S7883Gu	4339394.0	123302	1	1.0	1.0			Gulf stream.		True	Gulf stream
mdp.39015057128889	Cohen, Octavus Roy	1891-1959.	1930.0	1930.0	s	1930	    	1930			PZ3.C662Ep	1151436.0	123453	4	4.0	4.0			Epic Peters, | Pullman porter, | $c: by Octavus Roy Cohen.		True	Epic Peters, Pullman porter
mdp.39015057048004	Eberhart, Mignon (Good), Mrs	1899-1996.	1930.0	1930.0	s	1930	    	1930			PZ3.E159My	1802880.0	123912	1	1.0	1.0			The mystery of Hunting's end ...		True	The mystery of Hunting's end
mdp.39015063956562	Stewart, Alfred W. (Alfred Walter)	1880-1947.	1930.0	1930.0	s	1930	    	1930				65842094.0	124226	1	1.0	1.0			Mystery at Lynden Sands, | $c: by J.J. Connington [pseud.]		True	Mystery at Lynden Sands
mdp.39015063956596	Stewart, Alfred W. (Alfred Walter)	1880-1947.	1930.0	1930.0	s	1930	    	1930			PZ3.S8493Tw 2	3060428.0	124265	1	1.0	1.0			The two ticket puzzle | $c: by J.J. Connington [pseud.]		True	The two ticket puzzle
mdp.39015063956539	Stewart, Alfred W. (Alfred Walter)	1880-1947.	1930.0	1930.0	s	1930	    	1930			PZ3.S8493Ey2	3510286.0	125007	1	1.0	1.0			The eye in the museum, | $c: by J. J. Connington [pseud.]		True	The eye in the museum
mdp.39015030714573	Subrahmanyam, A		1930.0	1930.0	s	1930	    	1930				13428081.0	128476	1	1.0	1.0			Indira Devi : | a romance of modern political India / | $c: by A. Subrahmanyam.		True	Indira Devi : a romance of modern political India
mdp.39015004194802	Undset, Sigrid	1882-1949.	1930.0	1930.0	s	1930	    	1930				5367225.0	129056	1	2.0	2.0			Jenny / | $c: translated from the Norwegian of Sigrid Undset by W. Emmé.		True	Jenny
mdp.39015059371859	Merrick, Leonard	1864-1939.	1930.0	1930.0	s	1930	    	1930			PZ3.M552Li 2	1182961.0	156952	1	1.0	1.0			The little dog laughed, | $c: by Leonard Merrick.		True	The little dog laughed
