docid	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprintdate	genres	subjects	locnum	oclc	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
uc1.$b318443	Istrati, Panait	1884-1935.	1931.0	1931.0	s	1931	    	1931				6772499.0	6545122	1	1.0	1.0			The bitter orange tree / | $c: by Panaït Istrati.		True	The bitter orange tree
uc1.$b322681	Luce, Clare Boothe	1903-1987.	1931.0	1931.0	s	1931	    	1931			PZ3.B64703St	2753314.0	6547857	1	2.0	1.0			Stuffed shirts, | $c: by Clare Boothe Brokaw; illustrations by Shermund.		True	Stuffed shirts
uc1.$b322712	Benson, Stella	1892-1933.	1931.0	1931.0	s	1931	    	1931				11056628.0	6547872	1	1.0	1.0			Tobit transplanted / | $c: by Stella Benson.		True	Tobit transplanted
uc1.$b322737	Beresford, J. D. (John Davys)	1873-1947.	1931.0	1931.0	s	1931	    	1931				10952712.0	6547887	1	2.0	2.0			The old people / | $c: by J.D. Beresford.		True	The old people
uc1.$b322789	Bowen, Elizabeth	1899-1973.	1931.0	1931.0	|	1931	||||	1931			PZ3.B6738Fr2	1201680.0	6547926	1	2.0	2.0			Friends and relations, | $c: by Elizabeth Bowen.		True	Friends and relations
uc1.$b322833	Bishop, John Peale	1892-1944.	1931.0	1931.0	s	1931	    	1931		History|Civil War, 1861-1865	PZ3.B54025Ma	422586.0	6547953	1	1.0	1.0			Many thousands gone / | $c: by John Peale Bishop.		True	Many thousands gone
uc1.$b322868	Brinig, Myron	1897-1991.	1931.0	1931.0	s	1931	    	1931				9382143.0	6547976	1	1.0	1.0			Wide open town / | $c: Myron Brinig.		True	Wide open town
uc1.$b322870	Bristow, Gwen	1903-1980.	1931.0	1931.0	s	1931	    	1931			PZ3.B7767Gu	2715585.0	6547977	1	1.0	1.0			The Gutenberg murders, | $c: by Gwen Bristow and Bruce Manning.		True	The Gutenberg murders
uc1.$b322978	Bechdolt, Frederick R. (Frederick Ritchie)	1874-1950.	1931.0	1931.0	s	1931	    	1931				1934949.0	6548045	1	1.0	1.0			Riders of the San Pedro, | $c: by Frederick R. Bechdolt.		True	Riders of the San Pedro
uc1.$b323497	Burnham, David	1907-	1931.0	1931.0	s	1931	    	1931				29605980.0	6548355	1	1.0	1.0			This our exile, | $c: by David Burnham.		True	This our exile
uc1.$b323593	Collier, John	1901-1980.	1931.0	1931.0	s	1931	    	1931				564286.0	6548415	1	5.0	1.0			His monkey wife; | or, Married to a chimp, | $c: by John Collier.		True	His monkey wife; or, Married to a chimp
uc1.$b23786	Gollomb, Joseph	1881-1950.	1931.0	1931.0	s	1931	    	1931		Pirates		17891958.0	6557977	1	1.0	1.0			Pirates, old and new, | $c: by Joseph Gollomb ... woodcuts by Clyde A. Nordquist.		True	Pirates, old and new
uc1.$b23833	Casey, Robert J. (Robert Joseph)	1890-1962.	1931.0	1931.0	s	1931	    	1931				3972265.0	6558004	1	1.0	1.0			Easter Island, | home of the scornful gods.		True	Easter Island, home of the scornful gods
uc1.$b23873	Rostron, Arthur Henry, Sir	1869-	1931.0	1931.0	s	1931	    	1931		Merchant marine|Great Britain|Seafaring life|Cunard Steamship Company, ltd	G540.R67	424931.0	6558027	1	1.0	1.0			Home from the sea, | $c: Sir Arthur H. Rostron ...		True	Home from the sea
uc1.$b25250	Chadwick, William Sydney	1882-	1931.0	1931.0	s	1931	    	1931		Animal behavior|Africa|Hunting	SK251.C43	6368205.0	6558770	1	1.0	1.0			Hunters and the hunted; | some glimpses of man and beast in the African bush, | $c: by W. S. Chadwick; with sketches by W. Woodhouse.		True	Hunters and the hunted; some glimpses of man and beast in the African bush
uc1.$b25297	Best, James William	1882-	1931.0	1931.0	s	1931	    	1931		India|Tigers|Hunting	SK235.B4 1931	3783260.0	6558813	1	1.0	1.0			Tiger days, | $c: by the Hon. James W. Best.		True	Tiger days
uc1.$b27409	MacMinn, George Rupert		1931.0	1931.0	s	1931	    	1931		Short stories|Short story		256998.0	6559849	1	1.0	1.0			College readings in the modern short story, | $c: edited with a review of the technique of the modern short story, by George R. MacMinn and Harvey Eagleson.		True	College readings in the modern short story
uc1.$b27850	Godfrey, Maude Corey		1931.0	1931.0	s	1931	    	1931	Juvenile audience		PZ8.3.G543Bi	18389263.0	6560190	1	1.0	1.0			The Biggle de Boo and the Big Boo Hoo, | $c: by Maude Corey Godfrey; illustrations by M. Whitney.		True	The Biggle de Boo and the Big Boo Hoo
uc1.$b27858	Fullen, Harriet Louise		1931.0	1931.0	s	1931	    	1931			PS3511.U62M8 1931	6682207.0	6560198	1	1.0	1.0			My shadow self, | $c: by Harriet Louise Fullen.		True	My shadow self
uc1.$b28819			1931.0	1931.0	s	1931	    	1931				30137403.0	6560873	1	1.0	1.0			Jesus comes to Hollywood and tells what's wrong with this poor old world, | $c: by ?		True	Jesus comes to Hollywood and tells what's wrong with this poor old world
uc1.$b28896	Apple, Adrian R		1931.0	1931.0	s	1931	    	1931				16665520.0	6560936	1	1.0	1.0			True riches, | a novel | $c: by Adrian R. Apple, with illustrations by the author ...		True	True riches, a novel
uc1.$b28988	Nichols, Elizabeth Berger		1931.0	1931.0	s	1931	    	1931				4327753.0	6561006	1	1.0	1.0			Life and heart throbs / | $c: by Elizabeth Berger Nichols.		True	Life and heart throbs
uc1.$b29913	Stedman, Marshall		1931.0	1931.0	s	1931	    	1931		Readers and speakers|1870-|Holidays	PN4305.H7S64	3174804.0	6561606	1	1.0	1.0			Readings and recitations for special days, | $c: by Marshall Stedman.		True	Readings and recitations for special days
uc1.$b51253	Graham, Stephen	1884-1975.	1931.0	1931.0	s	1931	    	1931		Short stories, American	PZ1.G761Gd	1360789.0	6573358	1	1.0	1.0			Great American short stories, | $c: edited by Stephen Graham.		True	Great American short stories
uc1.$b52455	Meik, Vivian		1931.0	1931.0	s	1931	    	1931		Ethnology|India|Rairakhol	DS485.R17M4	2951334.0	6574016	1	1.0	1.0			The people of the leaves, | $c: by Vivian Meik.		True	The people of the leaves
uc1.$b56347	pseud. Cameron, Mary, Lady		1931.0	1931.0	s	1931	    	1931			PZ3.C1457Me	2990551.0	6575821	1	1.0	1.0			Merrily I go to hell; | reminiscences of a bishop's daughter | $c: [by] Lady Mary Cameron.		True	Merrily I go to hell; reminiscences of a bishop's daughter
uc1.$b56387	Rourke, Thomas	1900-	1931.0	1931.0	s	1931	    	1931			PZ8.C617Th	1809624.0	6575853	1	1.0	1.0			Thunder below, | $c: by Thomas Rourke [pseud.]		True	Thunder below
uc1.$b56575	Fletcher, Inglis	1879-1969.	1931.0	1931.0	s	1931	    	1931				7321470.0	6575996	1	2.0	1.0			The white leopard, | a tale of the African bush; | $c: illustrated by Kurt Wiese.		True	The white leopard, a tale of the African bush;
uc1.$b60314	Olcott, Virginia		1931.0	1931.0	s	1931	    	1931	Juvenile audience			3058366.0	6578061	1	1.0	1.0			Jean and Fanchon : | children of fair France / | $c: by Virginia ; with illustrations by Constance Whittemore.		True	Jean and Fanchon : children of fair France
uc1.$b63664	Quilter, Daniel		1931.0	1931.0	s	1931	    	1931				631580.0	6579994	1	1.0	1.0			Body; | a new study, in narrative, of the anatomy of society, | $c: by Daniel Quilter, with illustrations by Anton K. Skillin.		True	Body; a new study, in narrative, of the anatomy of society
uc1.$b63711	Rothery, Agnes	1888-1954.	1931.0	1931.0	s	1931	    	1931			PZ3.R7446In	1810520.0	6580036	1	1.0	1.0			Into what port? | $c: By Agnes Rothery, illustrations by Carl Burger.		True	Into what port?
uc1.$b63793	Smith, Dama Margaret		1931.0	1931.0	s	1931	    	1931		Hopi Indians|Social life and customs		593902.0	6580095	1	1.0	1.0			Hopi girl.		True	Hopi girl
uc1.$b63840	Tjader, Marguerite		1931.0	1931.0	s	1931	    	1931				17884883.0	6580129	1	1.0	1.0			Borealis; | sketch for a novel.		True	Borealis; sketch for a novel
uc1.$b74575	Penzoldt, Ernst	1892-1955.	1931.0	1931.0	s	1931	    	1931		1752-1770|Chatteron, Thomas		327350.0	6586243	1	1.0	1.0			The marvellous boy. | $c: Translated by John R. Trounstine and Eleanor Woolf, decorated by Edna Reindel.		True	The marvellous boy
uc1.$b80835	Arnac, Marcel	b. 1886.	1931.0	1931.0	s	1931	    	1931			PQ2601.R58B72 1931	346426.0	6589499	1	1.0	1.0			Three of a kind, | $c: written and illustrated by Marcel Arnac; translated by Louis Colman.		True	Three of a kind
uc1.$b82880	White, William Chapmen	1903-	1931.0	1931.0	s	1931	    	1931		Social conditions		1070491.0	6590727	2	2.0	2.0			These Russians, | $c: by William C. White.		True	These Russians
uc1.$b85454	Beck, L. Adams (Lily Adams)	d. 1931.	1931.0	1931.0	s	1931	    	1931		Argyll, Elizabeth (Gunning) Campbell|duchess of|1734-1790		918598.0	6592341	1	1.0	1.0			The Irish beauties, | $c: by E. Barrington [pseud.]		True	The Irish beauties
uc1.$b85947	Bennett, Arnold	1867-1931.	1931.0	1931.0	s	1931	    	1931		Manners and customs|Social life and customs|Interpersonal relations		1160579.0	6592639	1	2.0	2.0			The night visitor and other stories.		True	The night visitor and other stories
uc1.b4372409	Boyle, Kay	1902-1992.	1931.0	1931.0	s	1931	    	1931		Family		186364.0	6592713	2	4.0	3.0			Plagued by the nightingale		True	Plagued by the nightingale
uc1.$b87060	Caldwell, Erskine	1903-1987.	1931.0	1931.0	s	1931	    	1931		Duell, Sloan & Pearce|Uniform edition of the works of Erskine Caldwell		3023174.0	6593291	1	4.0	4.0			American earth / | $c: by Erskine Caldwell.		True	American earth
uc1.$b87186	Cozzens, James Gould	1903-1978.	1931.0	1931.0	s	1931	    	1931	Publishers' advertisements			1015646.0	6593369	1	2.0	2.0			"S.S. ""San Pedro."" | A tale of the sea."		True	"S.S. ""San Pedro."" A tale of the sea"
uc1.$b87224	Davies, Rhys	1901-1978.	1931.0	1931.0	s	1931	    	1931			PR6007.A78A7	2063879.0	6593398	1	1.0	1.0			Arfon.		True	Arfon
uc1.$b101742	Mannin, Ethel	1900-1984.	1931.0	1931.0	s	1931	    	1931			PZ3.M3198Rag2	2063693.0	6601360	1	1.0	1.0			Ragged banners, | a novel with an index.		True	Ragged banners, a novel with an index
uc1.$b102252	Marshall, Bruce	1899-1987.	1931.0	1931.0	s	1931	    	1931			PZ3.M35594Fat 2PR6025.A654	857091.0	6601698	1	2.0	2.0			Father Malachy's miracle, a heavenly story with an earthly meaning, | $c: by Bruce Marshall.		True	Father Malachy's miracle, a heavenly story with an earthly meaning
uc1.$b103936	Phillpotts, Eden	1862-1960.	1931.0	1931.0	s	1931	    	1931			PZ3.P547Fou2	1168928.0	6602677	1	1.0	1.0			"""Found drowned"", | $c: by Eden Phillpotts."		True	"""Found drowned"""
uc1.$b105527	Smith, Susan, Mrs	1885-	1931.0	1931.0	s	1931	    	1931			PZ3.S6598Gl	3211082.0	6603612	1	1.0	1.0			The Glories of Venus, | a novel of modern Mexico, | $c: by Susan Smith; with drawings in color by Jose Clemente Orozco.		True	The Glories of Venus, a novel of modern Mexico
uc1.$b115378	Seabrook, Katherine (Edmondson), Mrs		1931.0	1931.0	s	1931	    	1931	Juvenile audience	Africa, West|Description and travel|Children	PZ9.S279Gao	1467459.0	6608893	1	1.0	1.0			Gao of the Ivory coast, | $c: by Katie Seabrook; illustrated by Edgar Parin D'Aulaire, frontispiece in color by Manning DeV. Lee.		True	Gao of the Ivory coast
uc1.$b117382	Hess, Fjeril	1893-	1931.0	1931.0	s	1931	    	1931		Ranch life		15356605.0	6610088	1	1.0	1.0			Buckaroo : | a story of Piñon ranch / | $c: by Fjeril Hess ; illustrated by Lee Townsend.		True	Buckaroo : a story of Piñon ranch
uc1.$b137254	Bojer, Johan	1872-1959.	1931.0	1931.0	s	1931	    	1931			PZ3.B6365Fo	6189060.0	6622344	1	1.0	1.0			Folk by the sea | $c: [by] Johan Bojer, translated from the Norwegian by Arna Heni, Louise Rourke and C. Archer.		True	Folk by the sea
uc1.$b139909	Bregendahl, Marie	1867-1940.	1931.0	1931.0	s	1931	    	1931			PZ3.B748Ni	6865768.0	6624027	1	1.0	1.0			A night of death | $c: [by] Marie Bregendahl, translated from the Danish by Margery Blanchard.		True	A night of death
uc1.$b144273	Spalding, Kenneth Jay	1879-	1931.0	1931.0	s	1931	    	1931		Ontology	B1649.S83T3	4526567.0	6626811	1	1.0	1.0			Talks on philosophy, | $c: by K. J. Spalding.		True	Talks on philosophy
uc1.$b152394	Grayson, David	1870-1946.	1931.0	1931.0	s	1931	    	1931			PS3503.A5448A7 1931	1349146.0	6632253	1	1.0	1.0			Adventures in solitude, | $c: by David Grayson [pseud.]  Illustrated by David Hendrickson.		True	Adventures in solitude
uc1.b3545500	Macgowan, Kenneth	1888-1963.	1931.0	1931.0	s	1931	    	1931		Detective and mystery stories		2833131.0	6671952	1	1.0	1.0			Sleuths; | twenty-three great detectives of fiction and their best stories. | $c: Edited by Kenneth Macgowan.		True	Sleuths; twenty-three great detectives of fiction and their best stories
uc1.b3547978	Oppenheim, E. Phillips (Edward Phillips)	1866-1946.	1931.0	1931.0	s	1931	    	1931			PZ3.O62Op	6160138.0	6672455	1	2.0	2.0			The Oppenheim omnibus; | clowns and criminals | $c: [by] E. Phillips Oppenheim.		True	The Oppenheim omnibus; clowns and criminals
uc1.b3578704	Anstey, F	1856-1934.	1931.0	1931.0	s	1931	    	1931			PZ3.G96Hu	5529012.0	6678146	1	1.0	1.0			Humour & fantasy ... | $c: by F. Anstey [pseud.]		True	Humour & fantasy
uc1.b3727789	Roberts, Elizabeth Madox	1881-1941.	1931.0	1931.0	s	1931	    	1931				1215145.0	6704577	1	3.0	3.0			A buried treasure | $c: [by] Elizabeth Madox Roberts		True	A buried treasure
uc1.b3734101	Goetel, Ferdynand	1890-1960.	1931.0	1931.0	s	1931	    	1931			PZ3.G5514Me	997496.0	6705185	1	1.0	1.0			The messenger of the snow, | $c: by Ferdynand Goetel, translated from the Polish by Marja C. Słomczanka and Grace Keith Murray; with a preface by G. K. Chesterton.		True	The messenger of the snow
uc1.b3844494	Patch, Edith M. (Edith Marion)	b. 1876.	1931.0	1931.0	 	1931	    	1931		Juvenile literature|Natural history		1143779.0	6732432	1	1.0	1.0			Holiday hill		True	Holiday hill
uc1.b3933679	Nazhivin, Iv. (Ivan)	1874-1940.	1931.0	1931.0	s	1931	    	1931		Legends and stories|Dogs		3410423.0	6756291	1	2.0	2.0			The dogs. | $c: Translated from the Russian.		True	The dogs
uc1.b3940670	Romanov, Panteleĭmon	1884-1938.	1931.0	1931.0	s	1931	    	1931			PZ3.R6624TH	14915999.0	6758629	1	5.0	4.0			Three pairs of silk stockings : | a novel of the life of the educated class under the soviet / | $c: Panteleimon Romanof ; translated by Leonide Zarine ; edited by Stephen Graham.		True	Three pairs of silk stockings : a novel of the life of the educated class under the soviet
inu.30000118529340	Davis, Frederick Hadland		1931.0	1931.0	s	1931	    	1931		Social life and customs|Folklore|Japan|China		3290629.0	6929714	1	1.0	1.0			The ninth immortal : | and other tales of China and Japan / | $c: F. Hadland Davis.		True	The ninth immortal : and other tales of China and Japan
inu.30000118321623	Walters, Raube		1931.0	1931.0	s	1931	    	1931			PZ3.W1724He	3495779.0	6932670	1	1.0	1.0			The hex woman, | $c: by Raube Walters.		True	The hex woman
inu.39000006128685	Roberts, Hilda A. E		1931.0	1931.0	s	1931	    	1931		Tales|Legends|Folklore|Wales, South		19666936.0	6935483	1	1.0	1.0			South Wales / | $c: by Hilda A. E. Roberts ; illustrated by Mildred R. Lamb.		True	South Wales
inu.39000005785865	Roberts, Hilda A. E		1931.0	1931.0	s	1931	    	1931		Social life and customs|Legends|Folklore|Wales		4372217.0	6935489	1	1.0	1.0			North Wales / | $c: by Hilda A. E. Roberts ; illustrated by Cora E. M. Paterson.		True	North Wales
pst.000006661908	Coppard, A. E. (Alfred Edgar)	1878-1957.	1931.0	1931.0	s	1931	    	1931				2622558.0	7025638	1	1.0	1.0			Fares please! : | An omnibus containing the stories in the volumes: - 'The black dog', 'The field of mustard' and 'Silver circus'.		True	Fares please! : An omnibus containing the stories in the volumes: - 'The black dog', 'The field of mustard' and 'Silver circus'
pst.000005343355	Broster, D. K. (Dorothy Kathleen)		1931.0	1931.0	s	1931	    	1931				221140012.0	7031290	1	1.0	1.0			The wounded name / | $c: by D. K. Broster.		True	The wounded name
pst.000015218490	Franklin, Miles	1879-1954.	1931.0	1931.0	s	1931	    	1931			PZ3.F856O1	52207625.0	7031425	1	1.0	1.0			Old Blastus of Bandicoot on a pioneer, tufted with ragged rhymes / | $c: by Miles Franklin.		True	Old Blastus of Bandicoot on a pioneer, tufted with ragged rhymes
pst.000005711185	Williams, Ben Ames	1889-1953.	1931.0	1931.0	t	1939	1931	1939				14062938.0	7031642	1	1.0	1.0			Pirate's purchase / | $c: by Ben Ames Williams.		True	Pirate's purchase
pst.000029697434	Roberts, Kenneth Lewis	1885-1957.	1931.0	1931.0	t	1976	1931	1976				4306159.0	7050898	1	1.0	1.0			The lively lady / | $c: Kenneth Roberts.		True	The lively lady
pst.000015732255	Bliss, Eliot	1903-	1931.0	1931.0	t	1987	1931	1987			PR6003.L537S27 1986	16006966.0	7059640	1	2.0	1.0			Saraband / | $c: Eliot Bliss ; with a new introduction by Paul Bailey.		True	Saraband
pst.000029583676	Burroughs, Edgar Rice	1875-1950.	1931.0	1931.0	s	1931	    	1931				11097236.0	7063300	1	1.0	1.0			The land of hidden men.		True	The land of hidden men
pst.000017853996	Roberts, Kenneth Lewis	1885-1957.	1931.0	1931.0	t	1945	1931	1945	Bibliographies	War of 1812|Dartmoor Prison|1775-1865|History|History		5358586.0	7066689	1	4.0	4.0			The lively lady : | a chronicle of Arundel, of privateering, and of the circular prison on Dartmoor / | $c: by Kenneth Roberts.		True	The lively lady : a chronicle of Arundel, of privateering, and of the circular prison on Dartmoor
uc1.32106008377712	Remarque, Erich Maria	1898-1970.	1931.0	1931.0	s	1931	    	1931		World War, 1914-1918		941946.0	7106810	1	5.0	5.0			The road back. | $c: Translated from the German by A. W. Wheen.		True	The road back
uc1.32106002246038	Werfel, Franz	1890-1945.	1931.0	1931.0	s	1931	    	1931		Dunlop, Geoffrey|German		1122437.0	7113133	1	2.0	2.0			The pure in heart.		True	The pure in heart
uc1.32106002143938	Schuyler, George S.  (George Samuel)	1895-1977.	1931.0	1931.0	c	1931	19	1969		African Americans|Human skin color		17350.0	7124084	1	3.0	1.0			Black no more; | being an account of the strange and wonderful workings of science in the Land of the Free, A.D. 1933-1940 | $c: by George S. Schuyler.		True	Black no more; being an account of the strange and wonderful workings of science in the Land of the Free, A.D. 1933-1940
uc1.32106014315219	Charteris, Leslie	1907-1993.	1931.0	1931.0	s	1931	    	1931				38997486.0	7127419	1	1.0	1.0			The last hero.		True	The last hero
umn.31951000888300t	Field, Rachel	1894-1942.	1931.0	1931.0	s	1931	    	1931				1817693.0	7472553	1	1.0	1.0			The yellow shop / | $c: illustrated by the author.		True	The yellow shop
umn.31951002376114p	Stout, Rex	1886-1975.	1931.0	1931.0	s	1931	    	1931				4684574.0	7476044	1	1.0	1.0			Golden remedy.		True	Golden remedy
pst.000016290648	Tey, Josephine	1896 or 7-1952.	1931.0	1931.0	t	1967	1931	1967			PZ3.M2174Ex 2	77677468.0	7490830	1	1.0	1.0			The expensive halo / | $c: [by] Gordon Daviot [pseud.].		True	The expensive halo
uc1.b3326061	Vachell, Horace Annesley	1861-1955.	1931.0	1931.0	s	1931	    	1931				14580306.0	7922840	1	1.0	1.0			Into the Land of Nod, | $c: by Horace Annesley Vachell ...		True	Into the Land of Nod
uc1.b3346987	Raine, William MacLeod	1871-1954.	1931.0	1931.0	s	1931	    	1931			PZ3.R135Be	2028252.0	7926258	1	1.0	1.0			Beyond the Rio Grande, | $c: by William MacLeod Raine.		True	Beyond the Rio Grande
pst.000018408423	Foster, William Trufant	1879-1950.	1931.0	1931.0	s	1931	    	1931		Consumption (Economics)|Profit		316816522.0	8002683	1	1.0	1.0			Old King Cole in trouble / | $c: by W.T. Foster and W. Catchings.		True	Old King Cole in trouble
uc1.$b766501	Ludmann, Oscar	1900-	1931.0	1931.0	|	1931	||||	1931		Alsace|France|Alsace-Lorraine question|World War, 1914-1918|Personal narratives	DD801.A397L8	768337.0	8007005	1	1.0	1.0			Stepchild of the Rhine; | an autobiography | $c: by Oscar Ludmann.		True	Stepchild of the Rhine; an autobiography
uc1.$b232542	De la Roche, Mazo	1879-1961.	1931.0	1931.0	s	1931	    	1931			PZ3.D37613Fi	1109157.0	8009194	1	4.0	1.0			Finch's fortune,		True	Finch's fortune
uc1.$b744312	Tierce, Antoinette	1892-	1931.0	1931.0	s	1931	    	1931		World War, 1914-1918|Prisoners and prisons|Personal narratives	D627.G3T5	3970321.0	8226961	1	1.0	1.0			Between two fires, | $c: by Antoinette Tierce; being a true account of how the author sheltered four escaped British prisoners of war in her house in Lille during the German occupation of that city.  Now published for the first time.  Translated by J. Lewis May.  With nineteen illustrations.		True	Between two fires
uc1.$b741779	O'Connor, Frank	1903-1966.	1931.0	1931.0	s	1931	    	1931			PZ3.O1744Gu	1935109.0	8230678	1	2.0	1.0			Guests of the nation, | $c: by Frank O'Connor [pseud.]		True	Guests of the nation
uc1.$b742633	Tilsley, W. V		1931.0	1931.0	s	1931	    	1931		World War, 1914-1918		5692443.0	8230929	1	1.0	1.0			Other ranks / | $c: W. V. Tilsley ; with an introduction by Edmund Blunden.		True	Other ranks
uc1.$b704628	Huidobro, Vicente	1893-1948.	1931.0	1931.0	s	1931	    	1931		Cid|ca. 1043-1099		8849558.0	8383252	1	2.0	2.0			Portrait of a paladin / | $c: translated by Warre B. Wells from the Spanish of Vicente Huidobro		True	Portrait of a paladin
uc1.$b662534	Nazhivin, Iv. (Ivan)	1874-1940.	1931.0	1931.0	s	1931	    	1931				5372284.0	8463072	1	1.0	1.0			According to Thomas, | an historical novel of the first century		True	According to Thomas, an historical novel of the first century
uc1.$b585248	Laubreaux, Alin		1931.0	1931.0	s	1931	    	1931			PZ3.L362Mu	1854110.0	8743269	1	1.0	1.0			Mulatto Johnny, | $c: by Alin Laubreaux; translated from the French by Coley Taylor.		True	Mulatto Johnny
uc1.$b572530	pseud. Hamilton, Margaret		1931.0	1931.0	s	1931	    	1931		Social life and customs	DT871.H3	6064182.0	8852026	1	1.0	1.0			The mango tree | $c: [by] Margaret Hamilton [pseud.] True notes of a childhood, set down by Umgheni Sai.		True	The mango tree
wu.89097636823	Zsolt, Béla	1895-1949.	1931.0	1931.0	s	1931	    	1931			PZ3.Z814It	7659988.0	8988065	1	1.0	1.0			It ends in marriage : | a novel / | $c: by Bela Zsolt ; translated from the Hungarian by Louis Rittenberg.		True	It ends in marriage : a novel
wu.89097727317	Tanko, Boris de		1931.0	1931.0	s	1931	    	1931		Jesus Christ	PZ3.T1629Wo	2154555.0	8991233	1	1.0	1.0			The world's orphan | $c: [by] Boris de Tanko; translated by Bernard G. Guerney.		True	The world's orphan
wu.89087889465	Beeding, Francis		1931.0	1931.0	s	1931	    	1931	Detective and mystery stories		PZ3.B39557	1852420.0	8995011	1	1.0	1.0			Death walks in Eastrepps,/ | $c: by Francis Beeding ...		True	Death walks in Eastrepps
wu.89099774663	Cohen, Octavus Roy	1891-1959.	1931.0	1931.0	s	1931	    	1931	United States|Mystery and detective fiction	African Americans	PZ3.C662	1570852.0	8996057	1	1.0	1.0			Cameos,/ | $c: by Octavus Roy Cohen.		True	Cameos
wu.89100332444	Green, Anne	1899-	1931.0	1931.0	s	1931	    	1931			PZ3.G8179 	1168415.0	8999775	1	1.0	1.0			Reader, I married him,/ | $c: by Anne Green.		True	Reader, I married him
wu.89100333129	Grinstead, Durward	1894-	1931.0	1931.0	s	1931	    	1931	Biography	Vega, Lope de|1562-1635	PZ3.G89362 	2496986.0	8999787	1	1.0	1.0			Belardo,: | a novel of old Spain, | $c: by Durward Grinstead.		True	Belardo,: a novel of old Spain
uc1.$b473035	Hellström, Gustaf	1882-1953.	1931.0	1931.0	s	1931	    	1931			PZ3.H36594Lac2	1128057.0	9006637	1	1.0	1.0			Lacemaker Lekholm has an idea, | $c: by Gustaf Hellström; translated by F. H. Lyon.		True	Lacemaker Lekholm has an idea
coo.31924014523306	Fillmore, Parker	1878-1944.	1931.0	1931.0	s	1931	    	1931			PZ3.F485Ye	8675474.0	9070393	1	1.0	1.0			Yesterday morning, | $c: by Parker Fillmore ....		True	Yesterday morning
coo.31924051745200	Haig-Brown, Roderick Langmere	1908-1976.	1931.0	1931.0	s	1931	    	1931		Atlantic salmon|Juvenile literature	QL795.F7H3	6076409.0	9078600	1	1.0	1.0			Silver : | the life story of an Atlantic salmon / | $c: by R.L. Haig- Brown; illustrated by Capt. J.P. Moreton, M.C.		True	Silver : the life story of an Atlantic salmon
wu.89100335017	Kelly, Eleanor Mercein	1880-1968.	1931.0	1931.0	s	1931	    	1931				769304.0	9183036	1	1.0	1.0			Nacio, his affairs,/ | $c: by Eleanor Mercein (Mrs. Kelly) With drawings by Amy Hogeboom.		True	Nacio, his affairs
wu.89099768368	Parke, Jean		1931.0	1931.0	s	1931	    	1931				37288039.0	9183672	1	1.0	1.0			Crescendo: | the romance of a wondrous work.		True	Crescendo: the romance of a wondrous work
wu.89099762619	Oppenheim, E. Phillips (Edward Phillips)	1866-1946.	1931.0	1931.0	s	1931	    	1931			PZ3.O62 	3908074.0	9183710	1	1.0	1.0			The Oppenheim omnibus,: | forty-one stories / | $c: by E. Phillips Oppenheim.		True	The Oppenheim omnibus,: forty-one stories
wu.89098800758	Ager, Waldemar	1869-1941.	1931.0	1931.0	s	1931	    	1931			PZ3.A265I	13254476.0	9184305	1	1.0	1.0			I sit alone | $c: by Waldemar Ager; translated from the Norwegian by Charles Wharton Stork.		True	I sit alone
wu.89099243263	Walker, Charles R. (Charles Rumford)	1893-1974.	1931.0	1931.0	s	1931	    	1931			PZ3.W1466	7041635.0	9185426	1	1.0	1.0			Our gods are not born: | a book of American short stories, | $c: by Charles R. Walker.		True	Our gods are not born: a book of American short stories
uc1.$b439751	Gibson, Wilfrid Wilson	1878-1962.	1931.0	1931.0	s	1931	    	1931	Bibliographies		PR6013.I29A6 1931	12247656.0	9241093	1	1.0	1.0			Wilfrid Gibson.		True	Wilfrid Gibson
pst.000006069773	Fane, Anthony		1931.0	1931.0	s	1931	    	1931			PZ3.F2127Wy	5341104.0	9430215	1	1.0	1.0			"The Wycliffe-Pepin case : | ""double shooting at Merrile court"" / | $c: by Anthony Fane."		True	"The Wycliffe-Pepin case : ""double shooting at Merrile court"""
pst.000002539621	Linnell, Gertrude Baldwin	d. 1933.	1931.0	1931.0	s	1931	    	1931				1824095.0	9430261	1	1.0	1.0			The black ghost of the highway / | $c: by Gertrude Linnell.		True	The black ghost of the highway
pst.000006161514	Orcutt, William Dana	1870-1953.	1931.0	1931.0	s	1931	    	1931		1500-1571|Cellini, Benvenuto	PZ3.O648Dag	2963251.0	9430286	1	1.0	1.0			Dagger and jewels : | the gorgeous adventures of Benvenuto Cellini, a romantic novel / | $c: by William Dana Orcutt.		True	Dagger and jewels : the gorgeous adventures of Benvenuto Cellini, a romantic novel
pst.000006695200	Mitchell, James Leslie	1901-1935.	1931.0	1931.0	s	1931	    	1931				6141240.0	9438698	1	1.0	1.0			Cairo dawns : | a story cycle with a poem.		True	Cairo dawns : a story cycle with a poem
pst.000006719975	Walpole, Hugh, Sir	1884-1941.	1931.0	1931.0	s	1931	    	1931				82817913.0	9438754	1	1.0	1.0			Above the dark tumult.		True	Above the dark tumult
pst.000020571900	Hatvany, Ludwig		1931.0	1931.0	s	1931	    	1931			PT2615.A828B6x 1931	6909475.0	9439080	1	1.0	1.0			Bondy jr. :  | ein Roman / | $c: Ludwig Hatvany.		True	Bondy jr. :  ein Roman
