book_id	author	authordate	title	compositionyear	hathidate	genre	audience	authgender	wordcount
42147	Whiting, Lilian,		Louise Chandler Moulton	1910		bio		f	352723
41616	Mixson, Frank M		Reminiscences of a private	1910	1910	bio		m	176519
30088	Brooks, Amy		Dorothy Dainty at the mountains	1911	1911	fic	juv	f	181555
51299	Jenkins, Hester Donaldson,		Ibrahim Pasha	1911		bio		f	222590
52154	Johnston, Mary	1870-1936.	Cease firing	1912	1912	fic		f	1019440
51909	Lewis, Alfred Henry	1857-1914.	The Apaches of New York	1912	1912	fic		m	333793
52240	Burnham, Clara Louise	1854-1927.	The Inner Flame	1912	1912	fic		f	523286
32084	Roosevelt, Wyn	-1870	Frontier boys in the South Seas	1912	1912	fic	juv	m	253110
28820	Scott, Leroy	1875-1929.	Counsel for the defense	1912	1912	fic		m	497809
38294	Haynes, Henrietta.		Henrietta Maria	1912		bio		f	673371
33345	Kennard, Nina H.,		Lafcadio Hearn	1912		bio		f	646111
54400	Gaunt, Mary	1861-1942.	Alone in West Africa	1912	1912	bio		f	648731
30733	Kelly, Florence Finch	1858-1939.	The fate of Felix Brand	1913	1913	fic		f	348263
47750	Reynolds, Robert Rice		Wanderlust	1913	1913	bio		m	158681
36134	Coolidge, Dane	1873-1940.	Bat Wing Bowles	1914	1914	fic		m	353255
34732	Bramah, Ernest	1869?-1942.	Max Carrados	1914	1914	fic		m	392774
48108	Reed, John	1887-1920.	Insurgent Mexico	1914	1914	bio		m	455087
43423	Cannan, Gilbert	1884-1955.	Old Mole	1914	1914	fic		m	493461
40565	Allen, George Hoyt	1857-	A Yankee in the Far East	1914	1915	bio		m	242060
57110	Horne, C. Silvester		David Livingstone	1914		bio		m	249687
47896	Saxton, Evelyn		Droll stories of Isthmian life	1914	1914	bio		f	271842
35557	Metelerkamp, Sanni		Outa Karel's stories	1914	1914	fic		f	141669
34669	Abbott, Henry	1850-	Lost Pond	1915	1915	bio		m	23955
47315	Campbell, R. W		Private Spud Tamson	1915	1915	fic		m	299471
29868	Hewlett, Maurice Henry	1861-1923.	Love and Lucy	1916	1916	fic		m	334626
28271	Sawyer, Ruth	1880-1970.	Seven miles to Arden	1916	1916	fic		f	288151
40893	Glyn, Elinor	1864-1943.	The career of Katherine Bush	1916	1916	fic		f	604816
35484	Bonner, Geraldine	1870-1930.	The Black Eagle mystery	1916	1916	fic		f	369999
32144	Barr, Amelia Edith Huddleston	1831-1919.	Jan Vedder's wife	1916	1916	fic		f	347699
46651	Morlae, Edward		A soldier of the Legion	1916	1916	bio		m	106369
39339	Terhune, Albert Payson	1872-1942.	Superwomen	1916	1916	bio		m	361719
35119	Gallishaw, John	1890-	Trenching at Gallipoli;	1916	1916	bio		m	242148
32835	Farrar, Geraldine.		Geraldine Farrar	1916		bio		f	139005
57149	Sanderson, Margaret Love		The Camp Fire girls at Driftwood Heights	1918	1918	fic	juv	f	287307
30312	Stocking, Charles Francis	b. 1873.	Carmen Ariza	1918	1918	fic		m	2452798
39056	Titus, Harold	1888-1967.	Bruce of the Circle A	1918	1918	fic		m	398561
39072	Broun, Heywood	1888-1939.	The A.E.F.;	1918	1918	bio		m	308007
41324	Sterne, Elaine	-1894	Over the seas for Uncle Sam	1918	1918	bio		f	196263
42451	Parkman, Mary Rosetta,		Heroines of service	1918		bio		f	288832
37686	Levy, T. Aaron,		Lincoln, the politician	1918		bio		m	404174
28694	Hough, Emerson	1857-1923.	Young Alaskans in the far North	1918	1918	fic	juv	m	287735
43864	Gregor, Elmer Russell	1878-	Running Fox	1918	1918	fic	juv	m	328393
34263	O'Donnell, Elliott	1872-1965.	The Banshee	1920	1920	fic		m	301926
44982	McKenna, Stephen	1888-1967.	Lady Lilith	1920	1920	fic		m	558993
29598	Hawley, Mabel C		Four little Blossoms at Brookside Farm	1920	1920	fic	juv	m	162539
29865	Abbott, Jane	b. 1881.	Highacres	1920	1920	fic	juv	f	359466
48446	Loria, Achille,		Karl Marx	1920		bio		u	144385
37343	Yeats-Brown, Francis,		Caught by the Turks	1920		bio		m	333461
