title	words_men	words_women	frac_women	script_id	imdb_id	year	gross
The Expendables 2	5082.0	538.0	0.09572953736654805	6121	tt1764651	2012	92.0
The Fabulous Baker Boys	10711.0	2807.0	0.20764906051191004	2259	tt0097322	1989	36.0
The Faculty	1828.0	4397.0	0.7063453815261044	4190	tt0133751	1998	74.0
The Family	8161.0	2329.0	0.22202097235462345	8612	tt2404311	2013	39.0
The Family Man	20994.0	8416.0	0.28616116967018024	2263	tt0218967	2000	122.0
The Fantastic Four	7610.0	1941.0	0.20322479321537013	4193	tt0109770	1994	
The Fast and the Furious	5416.0	699.0	0.1143090760425184	5532	tt0232500	2001	222.0
The Fault in Our Stars	8434.0	10031.0	0.5432439750880044	2275	tt2582846	2014	133.0
The Fifth Element	6961.0	379.0	0.051634877384196184	911	tt0119116	1997	120.0
The Fifth Estate	8702.0	1487.0	0.1459417018353126	4208	tt1837703	2013	3.0
The Fighter	10261.0	3744.0	0.2673330953230989	2289	tt0964517	2010	103.0
The Final Girls	1988.0	5895.0	0.7478117467969048	7732	tt2118624	2015	
The Fisher King	5398.0	2448.0	0.31200611776701503	4216	tt0101889	1991	86.0
The Flintstones	5024.0	1398.0	0.21768919339769544	8297	tt0109813	1994	272.0
The Fog	2482.0	3016.0	0.5485631138595853	8848	tt0432291	2005	40.0
The Four Feathers	17643.0	5777.0	0.24666951323654995	918	tt0240510	2002	27.0
The Fourth Kind	3986.0	4269.0	0.5171411265899455	8275	tt1220198	2009	29.0
The French Connection	11700.0	342.0	0.028400597907324365	2328	tt0067116	1971	
The Frighteners	2952.0	1237.0	0.2952972069706374	6107	tt0116365	1996	32.0
The Fugitive	12890.0	1350.0	0.09480337078651685	2347	tt0106977	1993	386.0
The Gambler	11995.0	1165.0	0.0885258358662614	5488	tt2039393	2014	35.0
The Game	6811.0	2706.0	0.2843332983082904	4258	tt0119174	1997	91.0
The General's Daughter	8872.0	2419.0	0.21424143122841202	4259	tt0144214	1999	176.0
The Getaway	4064.0	1677.0	0.2921093886082564	2387	tt0068638	1972	138.0
The Ghost and the Darkness	9714.0	390.0	0.03859857482185273	2391	tt0116409	1996	75.0
The Girl with the Dragon Tattoo	8965.0	3713.0	0.29286953778198455	6571	tt1568346	2011	113.0
The Godfather	11879.0	962.0	0.07491628377852193	4277	tt0068646	1972	690.0
The Godfather: Part II	14788.0	2346.0	0.13692074238356483	4280	tt0071562	1974	266.0
The Good Girl	6936.0	8864.0	0.5610126582278481	2426	tt0279113	2002	20.0
The Good Shepherd	9212.0	780.0	0.07806244995996797	7247	tt0343737	2006	79.0
The Goodbye Girl	7320.0	5906.0	0.44654468471193104	7134	tt0076095	1977	
The Graduate	15302.0	6508.0	0.2983952315451628	2432	tt0061722	1967	
The Grand Budapest Hotel	8252.0	105.0	0.012564317338757928	5501	tt2278388	2014	62.0
The Grapes of Wrath	18042.0	5346.0	0.22857875833760902	2442	tt0032551	1940	
The Great Gatsby	8662.0	1840.0	0.17520472290992192	5489	tt1343092	2013	155.0
The Great Muppet Caper	1308.0	370.0	0.2205005959475566	4303	tt0082474	1981	
The Great Outdoors	8091.0	1351.0	0.14308409235331498	7308	tt0095253	1988	87.0
The Green Inferno	4021.0	2747.0	0.4058806146572104	7731	tt2403021	2013	7.0
The Green Mile	11310.0	1095.0	0.08827085852478839	5895	tt0120689	1999	234.0
The Grifters	8916.0	8394.0	0.48492201039861355	2455	tt0099703	1990	27.0
The Grudge	2878.0	3532.0	0.5510140405616225	2460	tt0391198	2004	154.0
The Guard	9025.0	698.0	0.07178854263087524	8021	tt1540133	2011	5.0
The Guest	6392.0	2833.0	0.30710027100271003	7738	tt2980592	2014	
The Gunman	4523.0	1078.0	0.19246563113729692	7554	tt2515034	2015	10.0
The Hand That Rocks the Cradle	626.0	8823.0	0.9337496031326066	8480	tt0104389	1992	184.0
The Hangover	26538.0	3236.0	0.10868543024115	2469	tt1119646	2009	321.0
The Haunting	7832.0	10472.0	0.5721153846153846	2497	tt0171363	1999	156.0
The Hebrew Hammer	10614.0	3370.0	0.24098970251716248	2510	tt0317640	2003	
The Help	1951.0	21540.0	0.916946915840109	2530	tt1454029	2011	186.0
The Hills Have Eyes	8357.0	4254.0	0.3373245579256205	2542	tt0454841	2006	55.0
The Hills Have Eyes	8357.0	4254.0	0.3373245579256205	8901	tt0077681	1977	
The Hitcher	5275.0	559.0	0.09581762084333219	8530	tt0455960	2007	20.0
The Hitchhiker's Guide to the Galaxy	19252.0	2768.0	0.1257039055404178	2547	tt0371724	2005	69.0
The Horse Whisperer	12080.0	16920.0	0.5834482758620689	2552	tt0119314	1998	139.0
The Hospital	7791.0	2566.0	0.2477551414502269	1017	tt0067217	1971	
The Howling	3516.0	2693.0	0.433725237558383	4381	tt0082533	1981	56.0
The Hudsucker Proxy	7183.0	1963.0	0.21462934616225673	1021	tt0110074	1994	5.0
The Human Stain	5872.0	3443.0	0.3696188942565754	4383	tt0308383	2003	7.0
The Hundred-Foot Journey	3113.0	2791.0	0.47273035230352306	6634	tt2980648	2014	57.0
The Hunger Games	4600.0	3799.0	0.4523157518752232	8029	tt1392170	2012	445.0
The Hustler	8093.0	1491.0	0.15557178631051752	4390	tt0054997	1961	
The Ice Storm	12622.0	7726.0	0.37969333595439353	2591	tt0119349	1997	14.0
The Ides of March	9172.0	1441.0	0.13577687741449165	7171	tt1124035	2011	44.0
The Illusionist	6624.0	718.0	0.09779351675292836	8601	tt0443543	2006	52.0
The Imaginarium of Doctor Parnassus	12290.0	2724.0	0.1814306647129346	2594	tt1054606	2009	8.0
The Imitation Game	8798.0	1836.0	0.1726537521158548	5419	tt2084970	2014	97.0
The Incredible Hulk	3730.0	1752.0	0.3195913900036483	7766	tt0800080	2008	163.0
The Incredibles	3110.0	2749.0	0.4691926949991466	1028	tt0317705	2004	365.0
The Informant!	11609.0	649.0	0.05294501550008158	4422	tt1130080	2009	38.0
The Insider	21188.0	1780.0	0.07749912922326715	2616	tt0140352	1999	49.0
The Invention of Lying	6369.0	2038.0	0.24241703342452717	1044	tt1058017	2009	21.0
The Invisible Woman	1581.0	2873.0	0.6450381679389313	5492	tt1700845	2013	1.0
The Iron Giant	4455.0	678.0	0.13208649912331968	7962	tt0129167	1999	39.0
The Iron Lady	2075.0	4895.0	0.7022955523672884	2634	tt1007029	2011	32.0
The Island	6953.0	1982.0	0.22182428651371014	8934	tt0399201	2005	48.0
The Island of Dr. Moreau	6687.0	624.0	0.0853508411981945	8935	tt0116654	1996	54.0
The Italian Job	3694.0	686.0	0.15662100456621006	1046	tt0317740	2003	152.0
The Jacket	7408.0	3013.0	0.2891277228672872	2651	tt0366627	2005	8.0
The Jerk	7460.0	1286.0	0.14703864623828036	4454	tt0079367	1979	
The Judge	9648.0	1261.0	0.11559262993858282	6908	tt1872194	2014	50.0
The Jungle Book	7060.0	167.0	0.023107790231077903	5534	tt0061852	1967	1029.0
The Karate Kid	6248.0	2142.0	0.2553039332538737	4468	tt0087538	1984	235.0
The Keep	2718.0	1173.0	0.30146491904394757	6518	tt0085780	1983	
The Keeping Room	1201.0	3028.0	0.7160085126507448	5490	tt2488778	2014	
The King of Comedy	7532.0	2898.0	0.2778523489932886	1071	tt0085794	1982	7.0
The King's Speech	13746.0	1574.0	0.10274151436031331	2708	tt1504320	2010	153.0
The Kingdom	6071.0	744.0	0.10917094644167279	1073	tt0431197	2007	60.0
The Lady from Shanghai	5747.0	1941.0	0.252471383975026	8602	tt0040525	1947	
The Lady in the Van	4834.0	4051.0	0.4559369724254361	5491	tt3722070	2015	0.0
The Ladykillers	10738.0	2320.0	0.17766886200030632	4496	tt0335245	2004	55.0
The Last Boy Scout	13516.0	1103.0	0.07544975716533278	1085	tt0102266	1991	122.0
The Last Castle	10298.0	116.0	0.011138851545995775	4500	tt0272020	2001	27.0
